City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,orsa,54.5153,30.4053,281.41,60,100,4.67,BY,1712875413
1,tiksi,71.6872,128.8694,247.47,94,23,5.43,RU,1712875414
2,port-aux-francais,-49.35,70.2167,279.15,85,100,2.46,TF,1712875414
3,ciudad lazaro cardenas,17.9583,-102.2,300.45,63,0,3.69,MX,1712875416
4,yellowknife,62.456,-114.3525,276.44,60,40,4.63,CA,1712875416
5,bentiu,9.2333,29.8333,303.31,13,85,2.22,SS,1712875417
6,bethel,41.3712,-73.414,287.95,89,100,3.09,US,1712875417
7,hamilton,39.1834,-84.5333,290.2,89,100,8.94,US,1712875355
8,port douglas,-16.4833,145.4667,298.44,65,50,3.66,AU,1712875181
9,hawaiian paradise park,19.5933,-154.9731,296.5,97,100,2.06,US,1712875419
10,ust-nera,64.5667,143.2,266.06,92,89,2.39,RU,1712875420
11,broken hill,-31.95,141.4333,287.01,55,24,4.79,AU,1712875421
12,jayapura,-2.5333,140.7,298.81,84,85,0.61,ID,1712875421
13,bredasdorp,-34.5322,20.0403,286.67,72,4,3.79,ZA,1712875422
14,port alfred,-33.5906,26.891,287.69,83,24,2.24,ZA,1712875422
15,yaren,-0.5472,166.916,301.4,81,100,4.2,NR,1712875423
16,shubarshi,48.5872,57.1869,280.67,69,55,1.33,KZ,1712875280
17,mogadishu,2.0371,45.3438,302.14,76,34,4.89,SO,1712875424
18,iqaluit,63.7506,-68.5145,271.0,68,100,2.57,CA,1712875425
19,petropavlovsk-kamchatsky,53.0452,158.6483,276.48,38,0,5.0,RU,1712875425
20,puerto ayora,-0.7393,-90.3518,302.13,97,57,3.58,EC,1712875426
21,waitangi,-43.9535,-176.5597,290.83,92,100,4.92,NZ,1712875427
22,lensk,60.7253,114.9278,256.38,92,97,1.33,RU,1712875427
23,grytviken,-54.2811,-36.5092,271.56,69,12,4.33,GS,1712875428
24,fort bragg,35.139,-79.006,294.93,90,100,6.17,US,1712875428
25,bamboo flat,11.7,92.7167,300.23,79,7,2.71,IN,1712875429
26,tazovsky,67.4667,78.7,251.12,94,63,6.73,RU,1712875430
27,ribeira grande,38.5167,-28.7,289.14,94,97,1.79,PT,1712875430
28,adamstown,-25.066,-130.1015,294.21,54,4,5.59,PN,1712875431
29,arraial do cabo,-22.9661,-42.0278,298.56,84,96,1.73,BR,1712875431
30,qui nhon,13.7667,109.2333,298.37,86,99,2.04,VN,1712875432
